Supplier ID,Supplier Name,Amount
112090,Farbetter Consulting Ltd,"1,032.00"
2317001,Fargo Coaches,"23,838.95"
2330901,Farney Close School Ltd,"35,812.00"
2487401,Farr & Roberts(Builders)Ltd,"11,435.60"
106947,Fast Hygiene Ltd,572.13
104801,FD Solutions Ltd,589.07
2970601,Feltham Construction Ltd,"19,391.45"
108090,Felton Communication Ltd,"3,885.43"
2316901,Fernhill Travel,"12,977.73"
106895,Fidelity International,"79,635.97"
100800,Filing Plus,741.75
105696,Financial Data Management Ltd,"11,135.50"
106875,Firestation,"19,287.50"
100274,Firmstep,"7,044.25"
116701,First Beeline Buses Ltd,"148,552.33"
288401,First Floor,"1,578.95"
3301,First Steps Pre School,"16,051.50"
3253401,First Steps Preschool,"11,932.50"
111326,Fitzgerald Fostering and Consultancy Ltd,"34,233.89"
107620,Five Acres Nursing Home Ltd,"10,284.31"
111597,Flexible Physiotherapy,"1,300.00"
103010,Forward Vending & Catering Ltd,806.98
103624,Foster Care Associates Ltd,"17,840.85"
107312,Fourways Residential Home,"3,787.23"
700601,Foxleigh Grove Nursing Home,"41,477.80"
2321601,Foxley Nursery School,"20,341.50"
111702,FP Teleset,"40,000.00"
112352,Named Individual,"1,519.00"
487301,French Brothers,"1,030.15"
100588,Frontier Software plc,"1,821.66"
106622,Frontline Products,963.48
107748,Frontline Solutions,"2,160.00"
110859,Fulfil,"3,941.27"
4444201,Furniture at Work Limited,"1,392.08"
112287,Furze Platt Scout Group,800.00
104524,G & M Skips,943.00
108892,G & W Groundworks Ltd,"16,923.00"
2614101,G H Marshall Ltd,"1,572.07"
2244701,G K Hopps t/as Maidenhead Montessori Schools,"52,073.13"
803801,G P T Services Ltd,"6,589.50"
108832,G T Refrigeration (Chertsey) Ltd,"4,462.69"
107060,Gallagher Training Initiatives,650.00
106717,Gambit Enterprises Ltd,"3,649.99"
2488001,Gardner Mechanical Services Ltd,"7,339.65"
65202,GCD Security (Locksmiths) Ltd,"12,675.11"
3693501,GE Capital Equipment Finance Ltd,"4,510.22"
1870201,Gemini Consultants Ltd,"8,364.26"
100527,General Teaching Council for England,"12,870.00"
111250,Generic Software Consultants Ltd,"1,771.85"
79801,Named Individual,"2,352.77"
110184,Geotechnical Instruments (UK) Ltd,713.00
