"Boro.","Ward","Borough","Constituency","WardName","Elected","Candidate","Party","Vote",,,,,,,,,,,,,
2,4,"Barnet",,"Colindale","*","Zubairi, Zakia   ","Labour",1339,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts",,"Ashfield, Mark E.C.","Liberal Democrat",488,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts","*","Depala, Mukesh H.","Conservative",1445,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts",,"Gutmann, David H.","Green",480,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts",,"Hargreaves, Carl   ","Green",485,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts",,"Hegazy, Alex   ","Liberal Democrat",466,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts",,"Natelson, Solomon O.","Green",499,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts",,"Rappaport, Rosalyn M.","Liberal Democrat",438,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts","*","Rawlings, Barry J.","Labour",1557,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts",,"Rogers, Paul G.","Labour",1430,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts","*","Salinger, Catherine A.","Conservative",1541,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts",,"Slipaczek, Filip G.J.","Conservative",1366,,,,,,,,,,,,,
2,5,"Barnet",,"Coppetts",,"Teh, Soon H.","Labour",1405,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet","*","Burton, Terence C.","Conservative",2408,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Coakley Webb, Pauline","Labour",1794,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Corney, Victor P.E.","Liberal Democrat",538,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet","*","Evans, Olwen M.","Conservative",2430,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Harney, Austin   ","Labour",1567,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Javes, Howard T.C.","Green",562,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Levine, Kathleen   ","Labour",1639,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet","*","Rams, Robert P.","Conservative",2301,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Wardle, Elizabeth R.","Liberal Democrat",623,,,,,,,,,,,,,
2,6,"Barnet",,"East Barnet",,"Wicksteed, Charles E.K.","Liberal Democrat",421,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Arram, Joyce M.","Liberal Democrat",745,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Beard, Rachel A.","Conservative",1078,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Bury, James R.","Conservative",1073,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Church, Dominic A.","Liberal Democrat",640,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Lynch, Noel T.","Green",748,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley","*","McNeil, Andrew R.","Labour",1767,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley","*","Moore, Alison   ","Labour",1852,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Norman, Stephen P.H.","Green",586,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley","*","Rogers, Colin G.","Labour",1767,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Scott, John M.","Conservative",1080,,,,,,,,,,,,,
2,7,"Barnet",,"East Finchley",,"Sladowsky, Marianne","Liberal Democrat",555,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Abeles, Elias   ","Liberal Democrat",901,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Brodkin, Alexander   ","Labour",1068,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Goodman, Michael R.","Liberal Democrat",682,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Green, Debra   ","Green",276,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware","*","Hart, Helena D.","Conservative",2086,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Johnston, John J.","Labour",942,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Levy, Mira   ","Liberal Democrat",672,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Lithgow, Jane   ","Green",156,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware","*","Scannell, Joan   ","Conservative",2018,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware",,"Senitt, Alan C.","Labour",854,,,,,,,,,,,,,
2,8,"Barnet",,"Edgware","*","Weider, Richard F.","Conservative",2199,,,,,,,,,,,,,
2,9,"Barnet",,"Finchley Church End",,"Davis, Malcolm B.","Liberal Democrat",526,,,,,,,,,,,,,
