"Boro.","Ward","Borough","Constituency","WardName","Elected","Candidate","Party","Vote",,,,,,,,,,,,,
2,17,"Barnet",,"Totteridge",,"Cardow, Anna M.","Liberal Democrat",695,,,,,,,,,,,,,
2,17,"Barnet",,"Totteridge",,"Cole, Michael M.","Liberal Democrat",627,,,,,,,,,,,,,
2,17,"Barnet",,"Totteridge","*","Coleman, Brian J.","Conservative",2461,,,,,,,,,,,,,
2,17,"Barnet",,"Totteridge","*","Cornelius, Richard A.","Conservative",2464,,,,,,,,,,,,,
2,17,"Barnet",,"Totteridge",,"Fitzsimmons, Janet A.","Labour",600,,,,,,,,,,,,,
2,17,"Barnet",,"Totteridge",,"Jarvis, Frederick F.","Labour",561,,,,,,,,,,,,,
2,17,"Barnet",,"Totteridge","*","Margo, Caroline S. ","Conservative",2304,,,,,,,,,,,,,
2,17,"Barnet",,"Totteridge",,"McDougall, Robert T.J. ","Independent",959,,,,,,,,,,,,,
2,17,"Barnet",,"Totteridge",,"Newby, Andrew J.","Green",687,,,,,,,,,,,,,
2,17,"Barnet",,"Totteridge",,"Smuts, David A.","Labour",509,,,,,,,,,,,,,
2,18,"Barnet",,"Underhill",,"Bird, Dennis A.","Liberal Democrat",729,,,,,,,,,,,,,
2,18,"Barnet",,"Underhill","*","Bulmer, Fiona L. ","Conservative",2104,,,,,,,,,,,,,
2,18,"Barnet",,"Underhill","*","Campbell, Anita   ","Labour",2141,,,,,,,,,,,,,
2,18,"Barnet",,"Underhill",,"Hope, Daniel F.","Conservative",2003,,,,,,,,,,,,,
2,18,"Barnet",,"Underhill",,"Massey, Gordon   ","Labour",1980,,,,,,,,,,,,,
2,18,"Barnet",,"Underhill",,"Riley, Timothy   ","Green",489,,,,,,,,,,,,,
2,18,"Barnet",,"Underhill",,"Roberts, Timothy J.K.","Labour",1936,,,,,,,,,,,,,
2,18,"Barnet",,"Underhill",,"Umbo, Eileen M.","Liberal Democrat",548,,,,,,,,,,,,,
2,18,"Barnet",,"Underhill","*","Webb, Daniel R.","Conservative",2009,,,,,,,,,,,,,
2,18,"Barnet",,"Underhill",,"Wicksteed, Yvonne   ","Liberal Democrat",605,,,,,,,,,,,,,
2,19,"Barnet",,"West Finchley",,"Ableson, Richard N.","Conservative",1618,,,,,,,,,,,,,
2,19,"Barnet",,"West Finchley",,"Blount, Malcolm S.H.","Liberal Democrat",602,,,,,,,,,,,,,
2,19,"Barnet",,"West Finchley",,"Gee, Michael R.","Green",649,,,,,,,,,,,,,
2,19,"Barnet",,"West Finchley","*","Houston, Ross S.","Labour",1799,,,,,,,,,,,,,
2,19,"Barnet",,"West Finchley",,"Knight, Gareth L.K.","Conservative",1587,,,,,,,,,,,,,
2,19,"Barnet",,"West Finchley","*","McGuirk, Kath   ","Labour",1667,,,,,,,,,,,,,
2,19,"Barnet",,"West Finchley",,"Pawar, Prem S.","Liberal Democrat",537,,,,,,,,,,,,,
2,19,"Barnet",,"West Finchley","*","Tierney, James B.","Labour",1717,,,,,,,,,,,,,
2,19,"Barnet",,"West Finchley",,"Turner, Janice   ","Liberal Democrat",575,,,,,,,,,,,,,
